都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,住所,方書,lat,lon,設置位置,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,備考
294241,,奈良県,上牧町,上牧町役場,カンマキチョウヤクバ,奈良県北葛城郡上牧町大字上牧3350番地,,34.562753,135.716648,1階住民課受付付近,0745-76-1001,,9.00002E+12,上牧町,,,,24時間対応可,,http://www.town.kanmaki.nara.jp/shisetsu,
294241,,奈良県,上牧町,上牧町中央公民館,カンマキチョウチュウオウコウミンカン,奈良県北葛城郡上牧町大字上牧3241番地,,34.567889,135.716895,事務所内,0745-76-3610,,9.00002E+12,上牧町,,,,施設の利用可能曜日、開始・終了時間に従う,,http://www.town.kanmaki.nara.jp/shisetsu,
294241,,奈良県,上牧町,上牧町保健福祉センター,カンマキチョウホケンフクシセンター,奈良県北葛城郡上牧町大字上牧3245番地1,,34.567778,135.718145,1階受付付近,0745-79-2020,,9.00002E+12,上牧町,,,,施設の利用可能曜日、開始・終了時間に従う,,http://www.town.kanmaki.nara.jp/shisetsu,
294241,,奈良県,上牧町,上牧町立第1体育館,カンマキチョウリツダイ1タイイクカン,奈良県北葛城郡上牧町大字上牧1750番地,,34.559294,135.716019,事務所内,0745-78-0118,,9.00002E+12,上牧町,,,,施設の利用可能曜日、開始・終了時間に従う,,http://www.town.kanmaki.nara.jp/shisetsu,
294241,,奈良県,上牧町,上牧小学校,カンマキショウガッコウ,奈良県北葛城郡上牧町大字上牧1866番地,,34.561376,135.717201,職員室,0745-77-2200,,9.00002E+12,上牧町,,,,施設の利用可能曜日、開始・終了時間に従う,,http://www.town.kanmaki.nara.jp/shisetsu,
294241,,奈良県,上牧町,上牧小学校,カンマキショウガッコウ,奈良県北葛城郡上牧町大字上牧1866番地,,34.561376,135.717201,体育館正面入口前（屋外設置）,0745-77-2200,,9.00002E+12,上牧町,,,,施設の利用可能曜日、開始・終了時間に従う,,http://www.town.kanmaki.nara.jp/shisetsu,
294241,,奈良県,上牧町,上牧第二小学校,カンマキダイニショウガッコウ,奈良県北葛城郡上牧町片岡台3丁目2番地,,34.575394,135.71546,体育館正面玄関,0745-73-1484,,9.00002E+12,上牧町,,,,施設の利用可能曜日、開始・終了時間に従う,,http://www.town.kanmaki.nara.jp/shisetsu,
294241,,奈良県,上牧町,上牧第二小学校,カンマキダイニショウガッコウ,奈良県北葛城郡上牧町片岡台3丁目2番地,,34.575394,135.71546,職員来客用玄関（屋外設置）,0745-73-1484,,9.00002E+12,上牧町,,,,施設の利用可能曜日、開始・終了時間に従う,,http://www.town.kanmaki.nara.jp/shisetsu,
294241,,奈良県,上牧町,上牧第三小学校,カンマキダイサンショウガッコウ,奈良県北葛城郡上牧町大字上牧3100番地,,34.570714,135.721494,職員室,0745-76-2310,,9.00002E+12,上牧町,,,,施設の利用可能曜日、開始・終了時間に従う,,http://www.town.kanmaki.nara.jp/shisetsu,
294241,,奈良県,上牧町,上牧第三小学校,カンマキダイサンショウガッコウ,奈良県北葛城郡上牧町大字上牧3100番地,,34.570714,135.721494,体育館正面入口前（屋外設置）,0745-76-2310,,9.00002E+12,上牧町,,,,施設の利用可能曜日、開始・終了時間に従う,,http://www.town.kanmaki.nara.jp/shisetsu,
294241,,奈良県,上牧町,上牧中学校,カンマキチュウガッコウ,奈良県北葛城郡上牧町大字上牧3349番地,,34.561674,135.715427,職員室,0745-76-5479,,9.00002E+12,上牧町,,,,施設の利用可能曜日、開始・終了時間に従う,,http://www.town.kanmaki.nara.jp/shisetsu,
294241,,奈良県,上牧町,上牧中学校,カンマキチュウガッコウ,奈良県北葛城郡上牧町大字上牧3349番地,,34.561674,135.715427,体育館正面入口前（屋外設置）,0745-76-5479,,9.00002E+12,上牧町,,,,施設の利用可能曜日、開始・終了時間に従う,,http://www.town.kanmaki.nara.jp/shisetsu,
294241,,奈良県,上牧町,上牧第二中学校,カンマキダイニチュウガッコウ,奈良県北葛城郡上牧町大字下牧35番地,,34.57118,135.707216,職員室,0745-72-3700,,9.00002E+12,上牧町,,,,施設の利用可能曜日、開始・終了時間に従う,,http://www.town.kanmaki.nara.jp/shisetsu,
294241,,奈良県,上牧町,上牧第二中学校,カンマキダイニチュウガッコウ,奈良県北葛城郡上牧町大字下牧35番地,,34.57118,135.707216,体育館正面入口前（屋外設置）,0745-72-3700,,9.00002E+12,上牧町,,,,施設の利用可能曜日、開始・終了時間に従う,,http://www.town.kanmaki.nara.jp/shisetsu,
294241,,奈良県,上牧町,上牧幼稚園,カンマキヨウチエン,奈良県北葛城郡上牧町桜ヶ丘3丁目34番,,34.574859,135.720993,職員来客用玄関,0745-32-0700,,9.00002E+12,上牧町,,,,施設の利用可能曜日、開始・終了時間に従う,,http://www.town.kanmaki.nara.jp/shisetsu,
294241,,奈良県,上牧町,片岡台出張所,カタオカダイシュッチョウショ,奈良県北葛城郡上牧町片岡台1丁目6番11号,,34.58035,135.716501,事務所内,0745-73-5501,,9.00002E+12,上牧町,,,,施設の利用可能曜日、開始・終了時間に従う,,http://www.town.kanmaki.nara.jp/shisetsu,
